Table 4 -  Hourly Peak Load in Percent of Daily Peak

         winter weeks      summer weeks     spring/fall weeks
        1 -8 & 44 - 52        18 -30         9-17 & 31 - 43
Hour     Wkdy     Wknd     Wkdy     Wknd     Wkdy     Wknd
-------------------------------------------------------------
12-1am    67       78       64       74       63       75
1-2       63       72       60       70       62       73
2-3       60       68       58       66       60       69
3-4       59       66       56       65       58       66
4-5       59       64       56       64       59       65
5-6       60       65       58       62       65       65
6-7       74       66       64       62       72       68
7-8       86       70       76       66       85       74
8-9       95       80       87       81       95       83
9-10      96       88       95       86       99       89
10-11     96       90       99       91      100       92
11-noon   95       91      100       93       99       94
Noon-1pm  95       90       99       93       93       91
1-2       95       88      100       92       92       90
2-3       93       87      100       91       90       90
3-4       94       87       97       91       88       86
4-5       99       91       96       92       90       85
5-6      100      100       96       94       92       88
6-7      100       99       93       95       96       92
7-8       96       97       92       95       98      100
8-9       91       94       92      100       96       97
9-10      83       92       93       93       90       95
10-11     73       87       87       88       80       90
11-12     63       81       72       80       70       85
