Total Run Time <seconds>:,23167
Parallel Computing Efficiency <%>,62.3769
No. Iterations,46
Solution information:, 
IP Objective:,7.09206e+09
LP objective:,7.09087e+09
IP gap:,0.000167884Investment:,1.74424e+09
Operation:,1.14415e+09,6.58293e+08,5.94798e+08,3.85238e+08,3.40451e+08,3.4953e+08,3.09837e+08,2.35211e+08,2.03779e+08,2.05569e+08,1.76918e+08,2.05748e+08,1.87991e+08,1.88324e+08,1.6198e+08,
WIND1@bus9,0,1,2,3,
0,0,-0,-0,0,
1,0,-0,-0,-0,
2,0,-0,-0,-0,
3,0,-0,-0,-0,
4,0,-0,-0,-0,
5,0,-0,-0,-0,
6,0,-0,-0,-0,
7,0,-0,-0,-0,
WIND2@bus23,0,1,2,3,
0,1,-0,-0,0,
1,1,-0,-0,-0,
2,1,-0,-0,-0,
3,1,-0,-0,-0,
4,1,-0,-0,-0,
5,1,-0,-0,-0,
6,1,-0,-0,-0,
7,1,-0,-0,-0,
G9@bus25,0,1,2,3,
0,-0,-0,-0,0,
1,-0,-0,-0,-0,
2,-0,-0,0,0,
3,-0,-0,0,-0,
4,-0,-0,0,-0,
5,-0,-0,0,0,
6,-0,-0,-0,-0,
7,-0,-0,-0,0,
G11@bus30,0,1,2,3,
0,-0,-0,-0,1,
1,-0,-0,-0,0,
2,-0,-0,0,1,
3,-0,-0,0,0,
4,-0,-0,0,1,
5,-0,-0,0,-0,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
WIND3@bus31,0,1,2,3,
0,1,-0,-0,-0,
1,1,-0,-0,-0,
2,1,-0,-0,-0,
3,1,-0,-0,-0,
4,1,-0,-0,-0,
5,1,-0,-0,-0,
6,1,-0,-0,-0,
7,1,-0,-0,-0,
G13@bus35,0,1,2,3,
0,-0,-0,-0,0,
1,-0,-0,-0,0,
2,-0,-0,-0,-0,
3,-0,-0,-0,0,
4,-0,-0,-0,0,
5,-0,-0,-0,-0,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
WIND4@bus45,0,1,2,3,
0,1,-0,-0,-0,
1,1,-0,-0,-0,
2,1,-0,-0,-0,
3,1,-0,-0,-0,
4,1,-0,-0,-0,
5,1,-0,-0,-0,
6,1,-0,-0,-0,
7,1,-0,-0,-0,
G17@bus53,0,1,2,3,
0,-0,1,0,0,
1,-0,1,0,-0,
2,-0,1,-0,0,
3,-0,1,-0,-0,
4,-0,-0,0,1,
5,-0,-0,0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
G19@bus55,0,1,2,3,
0,-0,-0,0,1,
1,-0,-0,0,-0,
2,-0,-0,0,-0,
3,-0,-0,0,0,
4,-0,-0,0,0,
5,-0,-0,0,-0,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
WIND5@bus58,0,1,2,3,
0,1,-0,-0,-0,
1,1,-0,-0,-0,
2,1,-0,-0,-0,
3,1,-0,-0,-0,
4,1,-0,-0,-0,
5,1,-0,-0,-0,
6,1,-0,-0,-0,
7,1,-0,-0,-0,
G21@bus61,0,1,2,3,
0,-0,-0,-0,0,
1,-0,-0,-0,0,
2,-0,-0,-0,0,
3,-0,-0,-0,-0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
G23@bus65,0,1,2,3,
0,-0,-0,0,-0,
1,-0,-0,0,0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,0,-0,
5,-0,-0,0,0,
6,-0,-0,-0,-0,
7,-0,-0,-0,0,
WIND6@bus68,0,1,2,3,
0,1,-0,-0,0,
1,1,-0,-0,-0,
2,1,-0,-0,-0,
3,1,-0,-0,-0,
4,1,-0,-0,-0,
5,1,-0,-0,-0,
6,1,-0,-0,-0,
7,1,-0,-0,-0,
G25@bus71,0,1,2,3,
0,-0,-0,0,1,
1,-0,-0,0,1,
2,-0,-0,-0,0,
3,-0,-0,-0,0,
4,-0,-0,0,-0,
5,-0,-0,0,1,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
G30@bus81,0,1,2,3,
0,-0,-0,0,1,
1,-0,-0,0,-0,
2,-0,-0,0,-0,
3,-0,-0,0,0,
4,-0,-0,0,0,
5,-0,-0,0,0,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
G36@bus98,0,1,2,3,
0,-0,-0,-0,0,
1,-0,-0,-0,-0,
2,-0,-0,-0,0,
3,-0,-0,-0,-0,
4,-0,-0,-0,0,
5,-0,-0,-0,0,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
G39@bus103,0,1,2,3,
0,-0,-0,0,0,
1,-0,-0,0,0,
2,-0,-0,-0,0,
3,-0,-0,-0,0,
4,-0,-0,0,0,
5,-0,-0,0,-0,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
SOLAR1@bus104,0,1,2,3,
0,-0,0,0,-0,
1,-0,0,0,-0,
2,-0,0,-0,0,
3,-0,0,-0,-0,
4,-0,-0,-0,0,
5,-0,-0,-0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
G41@bus109,0,1,2,3,
0,-0,-0,1,0,
1,-0,-0,1,-0,
2,-0,-0,-0,0,
3,-0,-0,-0,0,
4,-0,-0,-0,0,
5,-0,-0,-0,-0,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
SOLAR2@bus111,0,1,2,3,
0,-0,0,0,-0,
1,-0,0,0,0,
2,-0,0,-0,-0,
3,-0,0,-0,0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
Line8(8-9),0,1,2,3,
0,-0,-0,0,0,
1,-0,-0,0,-0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
Line17(12-14),0,1,2,3,
0,-0,-0,-0,-0,
1,-0,-0,-0,-0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
Line26(19-20),0,1,2,3,
0,-0,-0,-0,-0,
1,-0,-0,-0,-0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
Line35(29-16),0,1,2,3,
0,-0,-0,-0,-0,
1,-0,-0,-0,-0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
Line44(18-33),0,1,2,3,
0,-0,-0,-0,0,
1,-0,-0,-0,0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,0,-0,
5,-0,-0,0,0,
6,-0,-0,-0,0,
7,-0,-0,-0,-0,
Line53(29-37),0,1,2,3,
0,-0,-0,-0,0,
1,-0,-0,-0,-0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
Line62(45-46),0,1,2,3,
0,-0,-0,-0,-0,
1,-0,-0,-0,-0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
Line71(50-51),0,1,2,3,
0,-0,-0,-0,-0,
1,-0,-0,-0,-0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
Line80(49-56),0,1,2,3,
0,-0,-0,-0,-0,
1,-0,-0,-0,-0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
Line89(59-60),0,1,2,3,
0,-0,-0,-0,-0,
1,-0,-0,-0,-0,
2,-0,-0,-0,-0,
3,-0,-0,-0,-0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
6,-0,-0,-0,-0,
7,-0,-0,-0,-0,
Line98(48-65),0,1,2,3,
0,-0,-0,-0,-0,
1,-0,-0,-0,0,
2,-0,-0,-0,-0,
3,-0,-0,-0,0,
4,-0,-0,-0,-0,
5,-0,-0,-0,-0,
