Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	LB	Gap
1	1.30832e+10	-8.08886e+09	-525473	-622185	-393529	-302662	-331412	-290002	-179023	-186677	-135395	-158885	-159854	-151839	-144899	-133750	4.99058e+09	1.62157
2	1.30831e+10	-4.94037e+08	-1.58372e+11	-1.67115e+11	-1.10036e+11	-1.09402e+11	-1.07524e+11	-1.11693e+11	-179023	-168390	-142083	-150869	-166668	-167981	-148682	-147627	4.99058e+09	1.62156
3	1.29543e+10	-1.24455e+08	-1.31807e+11	-1.32595e+11	-1.45827e+11	-1.19107e+11	-1.2178e+11	-9.50202e+10	-3.37661e+08	-3.01657e+08	-4.4024e+08	-4.07702e+08	-5.56898e+08	-5.3318e+08	-5.54449e+08	-5.25524e+08	4.99058e+09	1.59575
4	9.54654e+09	-1.97182e+08	-1.24311e+08	-1.45055e+08	-6.86644e+07	-5.34226e+07	-2.32777e+08	-3.86441e+07	-5.54788e+08	-7.7206e+09	-6.01557e+09	-6.00651e+09	-9.04044e+09	-7.44842e+09	-5.91402e+09	-4.32099e+09	4.99058e+09	0.912913
5	8.39639e+09	-2.267e+08	-3.28279e+08	-1.61478e+08	-2.63119e+08	-1.13334e+08	-1.17868e+08	-9.78167e+07	-1.2704e+09	-8.50186e+07	-7.59036e+07	-6.44816e+07	-1.57881e+08	-3.55325e+07	-4.29272e+07	-3.92335e+07	5.31641e+09	0.579334
6	7.93448e+09	-1.3469e+08	-2.37943e+08	-1.48303e+08	-2.90114e+08	-1.42714e+08	-1.45905e+08	-1.03362e+08	-2.09264e+08	-1.45971e+08	-1.37604e+08	-6.89254e+07	-1.70563e+08	-3.67807e+07	-6.29782e+07	-5.29126e+07	5.84646e+09	0.357144
7	7.90464e+09	-2.03708e+08	-1.96729e+08	-1.22314e+08	-2.25487e+08	-1.60698e+08	-1.22904e+08	-1.40091e+08	-1.36672e+08	-8.48043e+07	-1.37724e+08	-5.59602e+07	-1.38426e+08	-6.84102e+07	-6.8243e+07	-6.59144e+07	5.97656e+09	0.322608
8	7.71685e+09	-1.95903e+08	-1.61483e+08	-1.3727e+08	-2.27626e+08	-1.17782e+08	-6.56691e+07	-1.74758e+08	-1.08639e+08	-9.46324e+07	-1.5359e+08	-6.00755e+07	-1.10491e+08	-4.559e+07	-4.23347e+07	-3.10446e+07	5.98997e+09	0.288297
9	7.50725e+09	-1.46889e+08	-5.7687e+07	-1.21657e+08	-1.24247e+08	-6.58631e+07	-8.90081e+07	-3.59879e+07	-1.60825e+08	-1.0279e+08	-1.30295e+08	-6.49584e+07	-7.80824e+07	-6.68932e+07	-4.31633e+07	-3.80535e+07	6.18085e+09	0.214599
10	7.44358e+09	-1.04364e+08	-4.22768e+07	-9.91224e+07	-9.16576e+07	-6.71598e+07	-5.13551e+07	-1.10535e+08	-1.21369e+08	-9.67038e+07	-1.03851e+08	-6.87291e+07	-8.44114e+07	-6.9618e+07	-3.42583e+07	-2.47464e+07	6.27342e+09	0.186526
11	7.3852e+09	-1.01173e+08	-5.36689e+07	-7.42627e+07	-6.54641e+07	-9.07966e+07	-9.86731e+07	-4.39006e+07	-6.63687e+07	-6.82528e+07	-6.47649e+07	-7.83075e+07	-8.61009e+07	-5.34879e+07	-3.92705e+07	-3.73001e+07	6.36341e+09	0.160573
12	7.35477e+09	-9.50792e+07	-5.61867e+07	-4.83134e+07	-5.72484e+07	-4.37998e+07	-4.74927e+07	-3.61657e+07	-6.43876e+07	-4.47802e+07	-5.31556e+07	-5.88063e+07	-8.73705e+07	-5.90375e+07	-3.01569e+07	-2.34659e+07	6.54933e+09	0.122982
