Itn	UB	0	1	2	3	4	5	6	LB	Gap
1	1.18481e+10	-8.08807e+09	-615456	-604496	-386281	-315399	-350732	-290112	3.75743e+09	2.15324
2	1.1848e+10	-4.94206e+08	-2.28312e+11	-2.29192e+11	-1.65624e+07	-326445	-357969	-296431	3.75743e+09	2.15323
3	1.17004e+10	-1.30328e+08	-3.12259e+09	-3.01838e+09	-1.35616e+09	-1.32057e+09	-1.58888e+09	-1.53684e+09	3.75743e+09	2.11393
4	6.06724e+09	-3.74238e+08	-3.04166e+08	-2.66593e+08	-3.25274e+09	-2.91968e+09	-3.31351e+09	-2.99192e+09	3.75743e+09	0.614733
5	5.97353e+09	-2.79842e+08	-3.65744e+08	-1.78468e+08	-2.93908e+08	-2.34645e+08	-2.31248e+08	-1.87525e+08	4.20215e+09	0.421542
6	5.85009e+09	-5.92035e+07	-2.34468e+08	-4.68199e+07	-3.98458e+08	-1.65269e+08	-9.32554e+07	-7.04429e+07	4.78217e+09	0.223312
7	5.80091e+09	-1.30157e+08	-8.02601e+07	-1.08298e+08	-3.46798e+08	-1.73916e+08	-1.30377e+08	-1.24559e+08	4.78217e+09	0.213028
8	5.5735e+09	-8.21953e+07	-1.71987e+08	-5.01645e+07	-2.26731e+08	-1.63511e+08	-1.29079e+08	-7.47173e+07	4.78217e+09	0.165475
9	5.53019e+09	-1.45739e+08	-1.46381e+08	-3.36953e+07	-1.89173e+08	-1.439e+08	-9.47479e+07	-6.13957e+07	4.78217e+09	0.156419
10	5.48646e+09	-9.11206e+07	-1.80125e+08	-6.29561e+07	-1.23157e+08	-1.32607e+08	-1.11101e+08	-6.70239e+07	4.78217e+09	0.147273
11	5.46978e+09	-5.50917e+07	-8.58377e+07	-6.07727e+07	-6.92759e+07	-8.46296e+07	-1.08816e+08	-5.86885e+07	4.94667e+09	0.10575
12	5.4476e+09	-8.31141e+07	-7.70208e+07	-7.89429e+07	-3.90161e+07	-6.36398e+07	-1.17842e+08	-6.36729e+07	4.94667e+09	0.101267
13	5.43373e+09	-3.78511e+07	-6.30344e+07	-6.33573e+07	-5.24546e+07	-7.60582e+07	-1.11824e+08	-4.07963e+07	4.98835e+09	0.0892832
14	5.40928e+09	-2.23572e+07	-7.09708e+07	-6.72534e+07	-4.79846e+07	-7.72672e+07	-5.94819e+07	-3.92005e+07	5.02476e+09	0.0765241
15	5.39661e+09	-2.06831e+07	-5.06992e+07	-2.38394e+07	-4.06249e+07	-6.60207e+07	-5.23763e+07	-4.5239e+07	5.09712e+09	0.0587552
16	5.37596e+09	-4.0386e+07	-3.55278e+07	-3.38454e+07	-4.31387e+07	-5.5277e+07	-7.9557e+07	-5.51677e+07	5.09712e+09	0.0547047
17	5.35891e+09	-2.0934e+07	-4.04109e+07	-3.82443e+07	-3.46547e+07	-3.81921e+07	-4.53682e+07	-6.09483e+07	5.09712e+09	0.0513588
18	5.35107e+09	-2.1923e+07	-1.55034e+07	-2.08625e+07	-3.41209e+07	-4.11761e+07	-4.59169e+07	-2.57135e+07	5.14585e+09	0.03988
19	5.34463e+09	-4.29003e+07	-3.53768e+07	-8.00579e+06	-1.27364e+07	-5.02446e+07	-2.43832e+07	-2.70963e+07	5.14585e+09	0.0386287
20	5.34054e+09	-3.00712e+07	-2.01755e+07	-6.86862e+06	-2.64119e+07	-3.97229e+07	-4.79089e+07	-1.95651e+07	5.14981e+09	0.0370352
21	5.33793e+09	-1.70323e+07	-1.99555e+07	-7.41606e+06	-2.45912e+07	-4.17346e+07	-2.69086e+07	-2.06148e+07	5.17968e+09	0.0305527
22	5.3337e+09	-1.09295e+07	-2.86532e+07	-9.65438e+06	-1.87388e+07	-4.06135e+07	-3.11059e+07	-5.48651e+06	5.18852e+09	0.0279814
23	5.33042e+09	-1.01633e+07	-2.60983e+07	-6.78298e+06	-1.12973e+07	-2.17797e+07	-2.51934e+07	-8.48022e+06	5.22063e+09	0.0210311
24	5.32732e+09	-1.26255e+07	-1.58789e+07	-1.01079e+07	-1.3486e+07	-2.65698e+07	-2.28662e+07	-3.54566e+06	5.22224e+09	0.0201216
25	5.32466e+09	-1.16419e+07	-2.42473e+07	-6.05912e+06	-1.94625e+07	-2.2212e+07	-1.55831e+07	-6.70352e+06	5.22224e+09	0.0196113
26	5.3227e+09	-1.51322e+07	-1.765e+07	-8.01171e+06	-1.51073e+07	-2.15549e+07	-1.1998e+07	-5.81317e+06	5.22743e+09	0.0182245
27	5.31931e+09	-1.33329e+07	-1.85317e+07	-8.18443e+06	-1.3654e+07	-1.88959e+07	-1.09202e+07	-7.19463e+06	5.2286e+09	0.0173496
28	5.31666e+09	-8.14082e+06	-1.65759e+07	-5.45319e+06	-1.25535e+07	-1.52556e+07	-1.01663e+07	-4.50248e+06	5.24401e+09	0.0138535
29	5.31516e+09	-1.03355e+07	-1.41538e+07	-5.52696e+06	-1.08036e+07	-1.56097e+07	-7.86785e+06	-5.66601e+06	5.2452e+09	0.0133386
30	5.31267e+09	-6.78452e+06	-8.77173e+06	-5.91598e+06	-1.154e+07	-1.27637e+07	-6.39351e+06	-4.3844e+06	5.25612e+09	0.0107596
31	5.31063e+09	-7.37087e+06	-1.57317e+07	-4.89691e+06	-9.49955e+06	-1.24045e+07	-7.58453e+06	-4.74946e+06	5.25612e+09	0.0103709
32	5.30573e+09	-6.40957e+06	-1.22306e+07	-4.44473e+06	-7.3939e+06	-1.45308e+07	-7.10577e+06	-6.1679e+06	5.25612e+09	0.00943935
