Total Run Time <seconds>:,131500
Serial Run Time <seconds>:,8.56355e+06
Parallel Computing Efficiency <%>,52.5178
No. Iterations,61
Solution information:, 
IP Objective:,9.00359e+09
LP objective:,8.99547e+09
IP gap:,0.00090271Investment:,2.53291e+09
Operation:,1.03774e+09,6.08473e+08,5.36334e+08,3.57088e+08,3.15379e+08,3.15257e+08,2.77912e+08,2.10878e+08,1.85717e+08,1.85722e+08,1.64228e+08,1.8578e+08,1.63843e+08,1.63683e+08,1.44166e+08,1.50879e+08,1.13685e+08,1.13625e+08,9.95211e+07,1.13625e+08,9.83173e+07,9.91382e+07,8.55398e+07,1.14872e+08,9.86366e+07,1.00308e+08,8.52097e+07,9.92572e+07,8.53625e+07,8.55371e+07,7.49688e+07,
WIND1@bus9,0,1,2,3,4,
0,1,0,0,0,0,
1,1,0,0,0,0,
2,1,0,0,0,0,
3,1,0,0,0,0,
4,1,0,0,0,0,
5,1,0,0,0,0,
6,1,0,0,0,0,
7,1,0,0,0,0,
8,1,0,0,0,0,
9,1,0,0,0,0,
10,1,0,0,0,0,
11,1,0,0,0,0,
12,1,0,0,0,0,
13,1,0,0,0,0,
14,1,0,0,0,0,
15,1,0,0,0,0,
WIND2@bus23,0,1,2,3,4,
0,1,0,0,0,0,
1,1,0,0,0,0,
2,1,0,0,0,0,
3,1,0,0,0,0,
4,1,0,0,0,0,
5,1,0,0,0,0,
6,1,0,0,0,0,
7,1,0,0,0,0,
8,1,0,0,0,0,
9,1,0,0,0,0,
10,1,0,0,0,0,
11,1,0,0,0,0,
12,1,0,0,0,0,
13,1,0,0,0,0,
14,1,0,0,0,0,
15,1,0,0,0,0,
G9@bus25,0,1,2,3,4,
0,0,0,0,0,-0,
1,0,0,0,0,0,
2,0,0,0,0,0,
3,0,0,0,0,0,
4,0,0,0,0,0,
5,0,0,0,0,0,
6,0,0,0,0,0,
7,0,0,0,0,0,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,0,0,0,0,0,
11,0,0,0,0,0,
12,0,0,0,0,0,
13,0,0,0,0,0,
14,0,0,0,0,0,
15,0,0,0,0,0,
G11@bus30,0,1,2,3,4,
0,-0,-0,-0,1,-0,
1,-0,-0,-0,1,-0,
2,-0,-0,-0,-0,1,
3,-0,-0,-0,-0,-0,
4,-0,-0,-0,-0,1,
5,-0,-0,-0,-0,1,
6,-0,-0,-0,-0,-0,
7,-0,-0,-0,-0,-0,
8,-0,-0,-0,-0,1,
9,-0,-0,-0,-0,-0,
10,-0,-0,-0,-0,-0,
11,-0,-0,-0,-0,-0,
12,-0,-0,-0,-0,0,
13,-0,-0,-0,-0,-0,
14,-0,-0,-0,-0,-0,
15,-0,-0,-0,-0,-0,
WIND3@bus31,0,1,2,3,4,
0,1,-0,-0,0,-0,
1,1,-0,-0,0,-0,
2,1,-0,-0,-0,-0,
3,1,-0,-0,-0,-0,
4,1,-0,-0,-0,-0,
5,1,-0,-0,-0,-0,
6,1,-0,-0,-0,-0,
7,1,-0,-0,-0,-0,
8,1,0,-0,-0,-0,
9,1,0,-0,-0,-0,
10,1,0,-0,-0,-0,
11,1,0,-0,-0,-0,
12,1,0,0,-0,-0,
13,1,0,0,-0,-0,
14,1,0,0,-0,-0,
15,1,0,0,-0,-0,
G13@bus35,0,1,2,3,4,
0,0,0,0,0,1,
1,0,0,0,0,0,
2,0,0,0,0,0,
3,0,0,0,0,0,
4,0,0,0,0,0,
5,0,0,0,0,0,
6,0,0,0,0,0,
7,0,0,0,0,0,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,0,0,0,0,0,
11,0,0,0,0,0,
12,0,0,0,0,0,
13,0,0,0,0,0,
14,0,0,0,0,0,
15,0,0,0,0,0,
WIND4@bus45,0,1,2,3,4,
0,1,-0,-0,-0,-0,
1,1,-0,-0,-0,-0,
2,1,-0,-0,-0,-0,
3,1,-0,-0,-0,-0,
4,1,-0,0,-0,-0,
5,1,-0,0,-0,-0,
6,1,-0,0,0,-0,
7,1,-0,0,0,-0,
8,1,-0,-0,-0,-0,
9,1,-0,-0,-0,-0,
10,1,-0,-0,-0,-0,
11,1,-0,-0,-0,-0,
12,1,-0,-0,-0,-0,
13,1,-0,-0,-0,-0,
14,1,-0,-0,-0,-0,
15,1,-0,-0,-0,-0,
G17@bus53,0,1,2,3,4,
0,1,0,-0,-0,0,
1,1,0,-0,-0,0,
2,1,0,-0,-0,0,
3,1,0,-0,-0,-0,
4,1,0,-0,-0,0,
5,1,0,-0,-0,-0,
6,1,0,-0,-0,-0,
7,1,0,-0,-0,-0,
8,1,-0,0,-0,0,
9,1,-0,0,-0,-0,
10,1,-0,0,-0,-0,
11,1,-0,0,-0,-0,
12,1,-0,-0,-0,0,
13,1,-0,-0,-0,-0,
14,1,-0,-0,-0,-0,
15,1,-0,-0,-0,-0,
G19@bus55,0,1,2,3,4,
0,-0,-0,-0,1,-0,
1,-0,-0,-0,1,-0,
2,-0,-0,-0,1,-0,
3,-0,-0,-0,1,-0,
4,-0,-0,-0,-0,1,
5,-0,-0,-0,-0,-0,
6,-0,-0,-0,-0,1,
7,-0,-0,-0,-0,-0,
8,-0,-0,-0,-0,1,
9,-0,-0,-0,-0,-0,
10,-0,-0,-0,-0,1,
11,-0,-0,-0,-0,-0,
12,-0,-0,-0,0,0,
13,-0,-0,-0,0,-0,
14,-0,-0,-0,-0,-0,
15,-0,-0,-0,-0,-0,
WIND5@bus58,0,1,2,3,4,
0,1,0,0,0,0,
1,1,0,0,0,0,
2,1,0,0,0,0,
3,1,0,0,0,0,
4,1,0,0,0,0,
5,1,0,0,0,0,
6,1,0,0,0,0,
7,1,0,0,0,0,
8,1,0,0,0,0,
9,1,0,0,0,0,
10,1,0,0,0,0,
11,1,0,0,0,0,
12,1,0,0,0,0,
13,1,0,0,0,0,
14,1,0,0,0,0,
15,1,0,0,0,0,
G21@bus61,0,1,2,3,4,
0,0,0,0,0,1,
1,0,0,0,0,0,
2,0,0,0,0,0,
3,0,0,0,0,0,
4,0,0,0,0,0,
5,0,0,0,0,0,
6,0,0,0,0,0,
7,0,0,0,0,0,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,0,0,0,0,0,
11,0,0,0,0,0,
12,0,0,0,0,0,
13,0,0,0,0,0,
14,0,0,0,0,0,
15,0,0,0,0,0,
G23@bus65,0,1,2,3,4,
0,0,0,0,0,0,
1,0,0,0,0,0,
2,0,0,0,0,0,
3,0,0,0,0,0,
4,0,0,0,0,0,
5,0,0,0,0,0,
6,0,0,0,0,0,
7,0,0,0,0,0,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,0,0,0,0,0,
