Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	LB	Gap
1	1.44387e+10	-8.08818e+09	-905783	-604593	-342809	-302718	-322501	-276775	-195604	-173182	-188127	-171649	-190850	-171992	-177003	-143983	-117441	-80313.6	-114475	-116149	-91820.9	-78686	-106665	-100158	-104300	-102428	-98154.8	-92713.8	-103647	-100045	-88633.1	-73492.6	6.3448e+09	1.27568
2	1.44386e+10	-5.00947e+08	-1.89069e+10	-1.88051e+10	-1.33132e+10	-1.29458e+10	-1.30312e+10	-1.30855e+10	-1.17944e+10	-1.18406e+10	-1.18013e+10	-1.19375e+10	-1.16945e+10	-1.19884e+10	-1.21075e+10	-1.22691e+10	-117441	-85369.8	-115525	-88211.9	-100106	-83616.1	-85036.3	-100639	-104338	-98868.6	-104577	-94397	-96574.3	-85332.4	-75196.8	-69218.1	6.3448e+09	1.27565
3	1.43096e+10	-1.37612e+08	-8.05499e+09	-1.10161e+10	-9.50565e+09	-8.61126e+09	-8.3351e+09	-7.25838e+09	-1.02161e+10	-1.77844e+10	-9.17724e+09	-7.18164e+09	-8.49622e+09	-6.73506e+09	-7.78352e+09	-5.83804e+09	-1.8575e+08	-1.8618e+08	-2.49129e+08	-2.46123e+08	-2.46787e+08	-2.43651e+08	-2.50209e+08	-2.40722e+08	-1.88762e+08	-1.87248e+08	-2.50582e+08	-2.42877e+08	-2.44e+08	-2.30049e+08	-2.40096e+08	-2.23852e+08	6.3448e+09	1.25533
4	1.12897e+10	-1.78097e+08	-2.93176e+08	-1.81474e+08	-8.32421e+07	-9.29934e+07	-1.10236e+08	-7.27659e+07	-1.70614e+08	-3.5666e+07	-3.93515e+07	-4.52229e+07	-1.14633e+08	-4.88145e+07	-8.09436e+07	-8.54087e+07	-1.62028e+08	-9.62772e+09	-9.95454e+09	-9.07009e+09	-1.76325e+10	-1.78603e+10	-1.78052e+10	-1.73147e+10	-1.89253e+10	-1.81325e+10	-2.12326e+10	-1.5984e+10	-1.79429e+10	-1.71772e+10	-1.69852e+10	-1.74315e+10	6.3448e+09	0.779369
5	1.06404e+10	-2.43838e+08	-8.46417e+07	-1.00664e+08	-1.00126e+08	-9.85787e+07	-5.65928e+07	-6.69613e+07	-2.19888e+08	-5.18885e+07	-1.19556e+08	-8.61833e+07	-1.67881e+08	-7.48317e+07	-2.63487e+07	-2.5142e+07	-2.46552e+09	-8.44998e+07	-1.05365e+08	-3.71765e+07	-1.12203e+08	-4.70844e+07	-4.84461e+07	-4.31003e+07	-3.60346e+08	-4.90574e+07	-4.61079e+07	-4.01802e+07	-9.13115e+07	-2.61825e+07	-1.96846e+07	-1.88559e+07	6.3448e+09	0.677034
6	1.04107e+10	-2.51173e+08	-1.44748e+08	-9.35294e+07	-1.41411e+08	-4.9864e+07	-1.44811e+08	-7.97293e+07	-1.08784e+08	-3.44794e+07	-1.40272e+08	-6.6677e+07	-1.16696e+08	-5.29988e+07	-6.73348e+07	-5.0245e+07	-1.27798e+08	-1.37106e+08	-1.00368e+08	-3.54985e+07	-1.08639e+08	-4.31697e+07	-5.5895e+07	-3.36916e+07	-1.83037e+08	-5.94567e+07	-4.38568e+07	-3.06749e+07	-6.4812e+07	-3.26929e+07	-4.93844e+07	-3.4159e+07	7.72769e+09	0.347192
7	1.01519e+10	-1.14977e+08	-8.67094e+07	-1.72662e+08	-7.59973e+07	-1.19558e+08	-5.91002e+07	-7.68382e+07	-9.76896e+07	-6.64319e+07	-7.7201e+07	-5.60112e+07	-6.91371e+07	-6.76551e+07	-5.68123e+07	-3.43151e+07	-1.04757e+08	-6.79126e+07	-7.67162e+07	-9.33056e+07	-7.84066e+07	-2.98565e+07	-6.17044e+07	-4.76539e+07	-1.27085e+08	-3.8576e+07	-5.33888e+07	-3.56905e+07	-5.87412e+07	-4.06931e+07	-3.29764e+07	-2.95567e+07	7.94378e+09	0.277968
8	9.87348e+09	-1.78763e+08	-1.07096e+08	-1.38494e+08	-7.83902e+07	-5.36592e+07	-7.51493e+07	-6.17829e+07	-8.92643e+07	-9.42502e+07	-5.60978e+07	-5.21876e+07	-6.18106e+07	-2.84695e+07	-4.7368e+07	-5.89114e+07	-1.16766e+08	-6.3786e+07	-7.08755e+07	-5.65336e+07	-5.52017e+07	-3.69781e+07	-4.87419e+07	-1.6083e+07	-1.06225e+08	-5.0169e+07	-5.91213e+07	-4.92807e+07	-5.33985e+07	-4.24999e+07	-2.57596e+07	-1.66607e+07	7.94378e+09	0.242918
9	9.74144e+09	-1.14953e+08	-6.90741e+07	-9.72565e+07	-4.22732e+07	-1.03635e+08	-7.51101e+07	-5.13965e+07	-7.33105e+07	-5.71533e+07	-6.3363e+07	-3.51266e+07	-6.0062e+07	-2.764e+07	-4.33267e+07	-8.89969e+07	-6.02022e+07	-5.12275e+07	-5.377e+07	-6.18276e+07	-4.9599e+07	-5.51306e+07	-5.16626e+07	-1.88592e+07	-1.02187e+08	-4.26803e+07	-5.17035e+07	-2.4791e+07	-4.23576e+07	-1.82655e+07	-4.31368e+07	-2.70229e+07	7.98434e+09	0.220068
10	9.60626e+09	-6.50731e+07	-3.27724e+07	-1.1663e+08	-4.94267e+07	-3.92187e+07	-5.41973e+07	-5.73795e+07	-7.92069e+07	-5.28625e+07	-5.02696e+07	-2.77646e+07	-3.75466e+07	-2.50071e+07	-3.1252e+07	-4.74751e+07	-8.36274e+07	-5.58548e+07	-5.80856e+07	-3.86416e+07	-4.45625e+07	-4.10877e+07	-5.05749e+07	-2.3601e+07	-5.6494e+07	-4.34817e+07	-3.22724e+07	-3.09831e+07	-4.40188e+07	-2.2738e+07	-2.15346e+07	-3.04625e+07	8.16215e+09	0.176927
11	9.50063e+09	-8.90547e+07	-3.87338e+07	-5.60206e+07	-4.28435e+07	-5.11834e+07	-5.07017e+07	-3.39743e+07	-5.98954e+07	-3.6111e+07	-4.15419e+07	-2.41987e+07	-2.9719e+07	-2.82041e+07	-4.0569e+07	-2.71246e+07	-5.72877e+07	-7.64792e+07	-3.90965e+07	-3.2442e+07	-4.58588e+07	-2.79661e+07	-3.62636e+07	-2.16613e+07	-4.7573e+07	-3.01071e+07	-3.23777e+07	-2.35591e+07	-3.92642e+07	-1.91885e+07	-2.22119e+07	-2.51301e+07	8.27429e+09	0.148211
12	9.44754e+09	-6.70455e+07	-5.93079e+07	-2.57589e+07	-4.52922e+07	-4.30285e+07	-4.00555e+07	-6.71123e+07	-5.98788e+07	-4.45019e+07	-3.9838e+07	-1.54164e+07	-3.32569e+07	-2.45021e+07	-2.60112e+07	-2.06839e+07	-4.79981e+07	-4.06411e+07	-3.41226e+07	-3.1401e+07	-3.4267e+07	-3.91876e+07	-3.77495e+07	-2.46146e+07	-4.69098e+07	-3.09534e+07	-2.76219e+07	-2.48513e+07	-2.87749e+07	-2.14341e+07	-2.28374e+07	-2.29319e+07	8.31955e+09	0.135583
13	9.39965e+09	-6.59868e+07	-7.63101e+07	-5.81833e+07	-7.6719e+07	-4.66142e+07	-2.62899e+07	-3.64554e+07	-4.23326e+07	-3.70845e+07	-4.31335e+07	-1.96643e+07	-4.11669e+07	-2.99545e+07	-2.737e+07	-2.88137e+07	-2.84845e+07	-2.93534e+07	-4.12045e+07	-2.83842e+07	-3.76606e+07	-3.308e+07	-3.52462e+07	-2.13597e+07	-4.1099e+07	-3.42121e+07	-2.77408e+07	-1.9432e+07	-2.3603e+07	-1.68056e+07	-2.07657e+07	-1.38669e+07	8.31955e+09	0.129827
14	9.36859e+09	-3.84408e+07	-1.83218e+07	-2.87234e+07	-6.6505e+07	-3.57172e+07	-2.53466e+07	-2.58548e+07	-4.11767e+07	-2.55703e+07	-3.22007e+07	-3.61191e+07	-3.28154e+07	-2.74725e+07	-2.32042e+07	-1.65702e+07	-2.35497e+07	-4.17843e+07	-2.612e+07	-2.70587e+07	-3.55331e+07	-3.11379e+07	-3.06265e+07	-2.08598e+07	-3.83716e+07	-4.01117e+07	-3.17353e+07	-1.36703e+07	-2.35539e+07	-1.59591e+07	-2.34707e+07	-1.9217e+07	8.45179e+09	0.108474
15	9.32337e+09	-2.54601e+07	-2.31327e+07	-1.99065e+07	-3.25792e+07	-3.30302e+07	-3.36558e+07	-2.62256e+07	-2.96081e+07	-3.84616e+07	-2.58041e+07	-1.09695e+07	-3.8937e+07	-1.94796e+07	-1.61986e+07	-2.97214e+07	-2.88907e+07	-3.30339e+07	-2.33357e+07	-2.50576e+07	-2.95248e+07	-2.77134e+07	-2.67983e+07	-1.45191e+07	-3.36264e+07	-2.21043e+07	-2.34075e+07	-1.13332e+07	-2.29805e+07	-1.37401e+07	-1.41997e+07	-1.3003e+07	8.55693e+09	0.0895693
16	9.30265e+09	-2.24321e+07	-2.10162e+07	-1.65234e+07	-2.07609e+07	-2.65721e+07	-2.99936e+07	-2.73919e+07	-3.00644e+07	-3.00955e+07	-2.49495e+07	-1.36624e+07	-2.45105e+07	-2.16736e+07	-2.22119e+07	-1.65521e+07	-2.34518e+07	-2.3894e+07	-2.38016e+07	-2.5327e+07	-3.09642e+07	-1.90064e+07	-2.3885e+07	-1.11653e+07	-2.78152e+07	-2.14253e+07	-1.8844e+07	-1.14164e+07	-2.0581e+07	-1.52622e+07	-1.21556e+07	-1.56086e+07	8.62963e+09	0.0779887
17	9.29003e+09	-2.68318e+07	-1.66942e+07	-9.09022e+06	-2.39408e+07	-2.37481e+07	-2.2157e+07	-1.89905e+07	-1.82019e+07	-2.98048e+07	-2.64606e+07	-8.88909e+06	-2.23116e+07	-1.51945e+07	-1.99477e+07	-1.65009e+07	-2.01702e+07	-2.64163e+07	-2.46029e+07	-2.38272e+07	-2.78122e+07	-1.96688e+07	-1.8098e+07	-1.47178e+07	-2.36445e+07	-2.25708e+07	-2.64844e+07	-1.2527e+07	-1.87173e+07	-1.38194e+07	-1.13099e+07	-1.26499e+07	8.67423e+09	0.0709919
18	9.27026e+09	-2.51053e+07	-1.76557e+07	-1.90675e+07	-2.53441e+07	-2.00858e+07	-3.07391e+07	-1.22624e+07	-1.92854e+07	-2.69257e+07	-2.78751e+07	-2.14145e+07	-2.86372e+07	-1.93077e+07	-1.83323e+07	-1.61296e+07	-9.69036e+06	-1.98772e+07	-1.6737e+07	-2.64301e+07	-3.20729e+07	-2.03653e+07	-1.90206e+07	-1.23278e+07	-2.1198e+07	-2.44398e+07	-1.77295e+07	-1.22322e+07	-1.75487e+07	-1.55708e+07	-1.1505e+07	-1.48413e+07	8.67423e+09	0.0687127
19	9.25201e+09	-2.69864e+07	-1.65344e+07	-2.15695e+07	-1.94909e+07	-1.92325e+07	-1.42619e+07	-1.64183e+07	-2.23238e+07	-2.33674e+07	-1.86366e+07	-1.1796e+07	-1.92872e+07	-1.77624e+07	-1.58084e+07	-1.97177e+07	-1.3668e+07	-2.48689e+07	-1.44326e+07	-1.85899e+07	-2.16387e+07	-1.87723e+07	-1.26522e+07	-1.3241e+07	-2.94134e+07	-2.47764e+07	-1.91573e+07	-1.23383e+07	-1.44471e+07	-1.31294e+07	-1.3646e+07	-1.44573e+07	8.68959e+09	0.0647237
20	9.23474e+09	-2.85566e+07	-2.22002e+07	-2.98076e+07	-1.78284e+07	-1.35353e+07	-1.25584e+07	-1.97869e+07	-1.87256e+07	-1.52851e+07	-1.60385e+07	-1.07611e+07	-2.32796e+07	-1.54275e+07	-1.21357e+07	-2.15487e+07	-9.30343e+06	-2.47452e+07	-2.04387e+07	-2.01239e+07	-1.8362e+07	-1.94439e+07	-1.22169e+07	-1.06715e+07	-2.41256e+07	-1.66606e+07	-2.04945e+07	-1.33372e+07	-1.72416e+07	-1.4505e+07	-1.33873e+07	-1.09588e+07	8.69125e+09	0.0625331
21	9.22141e+09	-7.65093e+06	-2.35147e+07	-1.65925e+07	-2.47234e+07	-1.78744e+07	-1.43988e+07	-1.27121e+07	-2.18724e+07	-1.92929e+07	-1.56685e+07	-9.60479e+06	-2.72218e+07	-1.4456e+07	-2.46888e+07	-1.53737e+07	-1.1089e+07	-1.75981e+07	-1.85461e+07	-1.33673e+07	-2.48809e+07	-2.0476e+07	-1.74723e+07	-1.05976e+07	-2.809e+07	-1.71794e+07	-2.11961e+07	-1.07286e+07	-1.45774e+07	-1.4869e+07	-1.39035e+07	-1.22411e+07	8.69125e+09	0.0609994
22	9.20676e+09	-3.2321e+07	-1.74207e+07	-2.03168e+07	-1.77042e+07	-1.87275e+07	-1.4167e+07	-1.33306e+07	-2.05943e+07	-1.17099e+07	-2.39763e+07	-1.27217e+07	-2.91399e+07	-9.31993e+06	-1.72471e+07	-1.81093e+07	-1.60668e+07	-2.03333e+07	-1.30468e+07	-1.33393e+07	-2.98416e+07	-1.6447e+07	-1.52825e+07	-1.41402e+07	-2.22844e+07	-1.99202e+07	-1.47355e+07	-1.18301e+07	-1.33908e+07	-1.13707e+07	-1.25365e+07	-1.25068e+07	8.69125e+09	0.059314
23	9.20069e+09	-2.17074e+07	-8.59232e+06	-1.35515e+07	-1.48006e+07	-1.20029e+07	-9.72529e+06	-1.39934e+07	-1.55063e+07	-2.18764e+07	-1.78417e+07	-1.20546e+07	-2.97932e+07	-1.19915e+07	-1.32651e+07	-1.33448e+07	-9.07068e+06	-1.93487e+07	-1.37705e+07	-1.84272e+07	-2.24835e+07	-1.374e+07	-1.52411e+07	-1.10855e+07	-1.72837e+07	-1.51198e+07	-1.47271e+07	-1.08318e+07	-1.1715e+07	-1.33373e+07	-1.40996e+07	-1.17263e+07	8.73863e+09	0.0528749
24	9.19364e+09	-8.032e+06	-8.28138e+06	-1.49181e+07	-1.31509e+07	-1.73274e+07	-1.15662e+07	-1.1321e+07	-1.93445e+07	-2.40714e+07	-1.58688e+07	-8.78442e+06	-3.19792e+07	-9.18646e+06	-1.38519e+07	-1.83345e+07	-6.98129e+06	-1.32102e+07	-1.0788e+07	-1.02507e+07	-2.0966e+07	-1.11183e+07	-1.58603e+07	-1.48007e+07	-1.716e+07	-1.37695e+07	-1.27185e+07	-1.4409e+07	-1.27845e+07	-1.11015e+07	-1.13326e+07	-8.94466e+06	8.76143e+09	0.0493314
25	9.18503e+09	-1.15626e+07	-1.13292e+07	-1.36549e+07	-1.12972e+07	-1.6054e+07	-1.20144e+07	-1.5698e+07	-1.67509e+07	-1.21155e+07	-2.19818e+07	-7.52273e+06	-2.63246e+07	-1.26452e+07	-9.05748e+06	-1.5242e+07	-8.68352e+06	-1.40456e+07	-7.69329e+06	-1.96119e+07	-2.11713e+07	-1.32888e+07	-1.25783e+07	-9.67181e+06	-1.40013e+07	-1.69198e+07	-1.2263e+07	-1.2457e+07	-1.03872e+07	-1.19755e+07	-1.09992e+07	-1.28259e+07	8.76321e+09	0.0481358
26	9.17337e+09	-1.32201e+07	-9.04846e+06	-1.90227e+07	-1.32119e+07	-1.46985e+07	-1.1591e+07	-1.54759e+07	-1.19735e+07	-1.88106e+07	-1.35179e+07	-1.17402e+07	-2.09655e+07	-1.19775e+07	-9.95721e+06	-1.43563e+07	-5.34856e+06	-1.46457e+07	-8.31563e+06	-1.2724e+07	-2.1618e+07	-1.14821e+07	-1.109e+07	-7.20598e+06	-1.12432e+07	-1.68607e+07	-9.1544e+06	-8.42152e+06	-1.29743e+07	-1.45838e+07	-1.08246e+07	-1.3167e+07	8.77414e+09	0.0455004
27	9.16219e+09	-8.16053e+06	-9.97636e+06	-1.41322e+07	-1.13079e+07	-1.54525e+07	-1.66348e+07	-1.28833e+07	-1.37589e+07	-1.35013e+07	-1.33814e+07	-9.12607e+06	-2.1905e+07	-1.16974e+07	-1.15304e+07	-8.26664e+06	-7.80869e+06	-1.16209e+07	-7.88739e+06	-1.23586e+07	-1.27842e+07	-1.02107e+07	-1.13873e+07	-6.2377e+06	-1.42699e+07	-1.80904e+07	-1.45769e+07	-7.39931e+06	-1.28119e+07	-1.42979e+07	-1.51826e+07	-1.06792e+07	8.78287e+09	0.0431884
28	9.15291e+09	-1.20876e+07	-9.13952e+06	-1.65382e+07	-6.2905e+06	-1.81091e+07	-1.23063e+07	-9.93892e+06	-8.77963e+06	-1.22199e+07	-9.11558e+06	-6.95433e+06	-2.15913e+07	-1.22593e+07	-9.10605e+06	-1.69298e+07	-6.16543e+06	-6.80187e+06	-6.98708e+06	-1.22474e+07	-1.4419e+07	-8.86622e+06	-8.17302e+06	-7.90879e+06	-1.31163e+07	-1.51198e+07	-1.19158e+07	-6.03955e+06	-1.34644e+07	-1.19643e+07	-9.80165e+06	-8.44569e+06	8.81011e+09	0.0389101
29	9.14591e+09	-1.53115e+07	-7.71852e+06	-1.88374e+07	-5.59948e+06	-1.1522e+07	-1.26134e+07	-1.15258e+07	-6.38387e+06	-1.07793e+07	-1.32995e+07	-8.29415e+06	-1.42539e+07	-1.26693e+07	-8.42572e+06	-1.4338e+07	-4.5679e+06	-6.70698e+06	-4.84609e+06	-1.0843e+07	-1.13444e+07	-9.22094e+06	-1.04792e+07	-9.87454e+06	-1.24644e+07	-1.33913e+07	-1.19179e+07	-7.40886e+06	-1.62521e+07	-1.31479e+07	-6.74315e+06	-1.01267e+07	8.815e+09	0.0375391
30	9.13784e+09	-1.11074e+07	-1.15764e+07	-9.80103e+06	-5.06255e+06	-1.733e+07	-1.34968e+07	-6.07142e+06	-8.36021e+06	-1.23145e+07	-9.66201e+06	-1.0472e+07	-1.66544e+07	-1.16459e+07	-1.12852e+07	-1.20375e+07	-4.76119e+06	-5.37302e+06	-7.08674e+06	-7.34552e+06	-9.42078e+06	-1.17702e+07	-1.15342e+07	-6.53448e+06	-9.88614e+06	-1.30043e+07	-1.22649e+07	-6.13976e+06	-1.32875e+07	-1.02828e+07	-8.09844e+06	-8.44255e+06	8.82573e+09	0.0353636
31	9.13128e+09	-1.31953e+07	-1.59194e+07	-7.06531e+06	-3.24018e+06	-9.73483e+06	-1.05848e+07	-1.50443e+07	-7.26303e+06	-8.591e+06	-6.61891e+06	-9.57907e+06	-2.01806e+07	-1.03727e+07	-5.92265e+06	-1.04982e+07	-5.07277e+06	-8.59263e+06	-7.79442e+06	-1.36547e+07	-9.32062e+06	-9.28086e+06	-1.43074e+07	-8.29565e+06	-9.26866e+06	-1.43009e+07	-1.21006e+07	-5.27926e+06	-1.20481e+07	-1.07975e+07	-1.27295e+07	-8.58784e+06	8.82573e+09	0.0346207
32	9.12289e+09	-1.35689e+07	-1.20474e+07	-8.78219e+06	-4.49327e+06	-9.27686e+06	-1.23997e+07	-9.75448e+06	-7.96132e+06	-1.11397e+07	-1.19399e+07	-6.94335e+06	-1.17049e+07	-1.24493e+07	-8.2558e+06	-8.18303e+06	-7.40747e+06	-6.82321e+06	-7.15867e+06	-9.74571e+06	-9.1454e+06	-7.77846e+06	-8.34515e+06	-7.19084e+06	-9.31059e+06	-1.98242e+07	-7.08415e+06	-6.56623e+06	-1.01226e+07	-8.14745e+06	-7.55139e+06	-8.0697e+06	8.83372e+09	0.0327349
