Total Run Time <seconds>:,101383
Parallel Computing Efficiency <%>,46.5447
No. Iterations,40
Solution information:, 
IP Objective:,1.12014e+10
LP objective:,1.11844e+10
IP gap:,0.0015179Investment:,3.03558e+09
Operation:,1.02303e+09,6.00669e+08,5.29235e+08,3.52732e+08,3.114e+08,3.1118e+08,2.74309e+08,2.0878e+08,1.83481e+08,1.8345e+08,1.61713e+08,1.83353e+08,1.61655e+08,1.61699e+08,1.42359e+08,1.14476e+08,1.10182e+08,1.1081e+08,9.53399e+07,1.10236e+08,9.53842e+07,9.65818e+07,8.42653e+07,1.10082e+08,9.54397e+07,9.54576e+07,8.42372e+07,9.71962e+07,8.41622e+07,8.41293e+07,7.40015e+07,6.95052e+07,6.35796e+07,7.00129e+07,6.57606e+07,7.04676e+07,6.51702e+07,6.50343e+07,5.0177e+07,7.0633e+07,6.52922e+07,6.51286e+07,5.05069e+07,6.59327e+07,5.08381e+07,5.0578e+07,4.43525e+07,7.15028e+07,6.52068e+07,6.49901e+07,5.01069e+07,6.55831e+07,5.06458e+07,5.05718e+07,4.4865e+07,6.50588e+07,5.08984e+07,5.03935e+07,4.39701e+07,5.04175e+07,4.41982e+07,4.42625e+07,3.91141e+07,
WIND1@bus9,0,1,2,3,4,5,
0,1,0,0,0,0,0,
1,1,0,0,0,0,0,
2,1,0,0,0,0,0,
3,1,0,0,0,0,0,
4,1,0,0,0,0,0,
5,1,0,0,0,0,0,
6,1,0,0,0,0,0,
7,1,0,0,0,0,0,
8,1,0,0,0,0,0,
9,1,0,0,0,0,0,
10,1,0,0,0,0,0,
11,1,0,0,0,0,0,
12,1,0,0,0,0,0,
13,1,0,0,0,0,0,
14,1,0,0,0,0,0,
15,1,0,0,0,0,0,
16,1,0,0,0,0,0,
17,1,0,0,0,0,0,
18,1,0,0,0,0,0,
19,1,0,0,0,0,0,
20,1,0,0,0,0,0,
21,1,0,0,0,0,0,
22,1,0,0,0,0,0,
23,1,0,0,0,0,0,
24,1,0,0,0,0,0,
25,1,0,0,0,0,0,
26,1,0,0,0,0,0,
27,1,0,0,0,0,0,
28,1,0,0,0,0,0,
29,1,0,0,0,0,0,
30,1,0,0,0,0,0,
31,1,0,0,0,0,0,
WIND2@bus23,0,1,2,3,4,5,
0,1,0,0,0,0,0,
1,1,0,0,0,0,0,
2,1,0,0,0,0,0,
3,1,0,0,0,0,0,
4,1,0,0,0,0,0,
5,1,0,0,0,0,0,
6,1,0,0,0,0,0,
7,1,0,0,0,0,0,
8,1,0,0,0,0,0,
9,1,0,0,0,0,0,
10,1,0,0,0,0,0,
11,1,0,0,0,0,0,
12,1,0,0,0,0,0,
13,1,0,0,0,0,0,
14,1,0,0,0,0,0,
15,1,0,0,0,0,0,
16,1,0,0,0,0,0,
17,1,0,0,0,0,0,
18,1,0,0,0,0,0,
19,1,0,0,0,0,0,
20,1,0,0,0,0,0,
21,1,0,0,0,0,0,
22,1,0,0,0,0,0,
23,1,0,0,0,0,0,
24,1,0,0,0,0,0,
25,1,0,0,0,0,0,
26,1,0,0,0,0,0,
27,1,0,0,0,0,0,
28,1,0,0,0,0,0,
29,1,0,0,0,0,0,
30,1,0,0,0,0,0,
31,1,0,0,0,0,0,
G9@bus25,0,1,2,3,4,5,
0,0,0,0,0,0,1,
1,0,0,0,0,0,-0,
2,0,0,0,0,-0,1,
3,0,0,0,0,-0,-0,
4,0,0,0,0,0,1,
5,0,0,0,0,0,0,
6,0,0,0,0,0,0,
7,0,0,0,0,0,0,
8,0,0,0,0,0,1,
9,0,0,0,0,0,-0,
10,0,0,0,0,0,0,
11,0,0,0,0,0,0,
12,0,0,0,0,0,-0,
13,0,0,0,0,0,0,
14,0,0,0,0,0,0,
15,0,0,0,0,0,0,
16,0,0,0,0,0,1,
17,0,0,0,0,0,-0,
18,0,0,0,0,0,0,
19,0,0,0,0,0,0,
20,0,0,0,0,0,0,
21,0,0,0,0,0,0,
22,0,0,0,0,0,0,
23,0,0,0,0,0,0,
24,0,0,0,0,0,-0,
25,0,0,0,0,0,0,
26,0,0,0,0,0,0,
27,0,0,0,0,0,0,
28,0,0,0,0,0,0,
29,0,0,0,0,0,0,
30,0,0,0,0,0,0,
31,0,0,0,0,0,0,
G11@bus30,0,1,2,3,4,5,
0,-0,-0,-0,1,0,0,
