Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	LB	Gap
1	1.59365e+10	-8.08801e+09	-698117	-650465	-424205	-311624	-318444	-313551	-192359	-169591	-215041	-165920	-215118	-167332	-197541	-136217	-134260	-121663	-105771	-80190.8	-104756	-88459.9	-90454.7	-90333.9	-104380	-84508.8	-72773.6	-92530.9	-93786.8	-85088.6	-88212.7	-91394.3	-46373	-66156.9	-57838.8	-52710.4	-64815.6	-47314.4	-53978.2	-51807.6	-65685.1	-48109.3	-57498.3	-59496.5	-54820.6	-49511	-62373.6	-43674.8	-59763.5	-57326.9	-52459.6	-49001.5	-52204.7	-49276	-46229.2	-40061.9	-52007	-47410.2	-56732.4	-47842.7	-46969.6	-42231.4	-37450.3	-39663.7	7.84116e+09	1.03242
2	1.59364e+10	-5.25734e+08	-2.7211e+10	-2.77015e+10	-1.94286e+10	-1.90862e+10	-1.9162e+10	-1.96375e+10	-1.77794e+10	-1.69831e+10	-1.70165e+10	-1.75299e+10	-1.71329e+10	-1.72232e+10	-1.66189e+10	-1.77185e+10	-1.57038e+10	-1.55793e+10	-1.59389e+10	-1.639e+10	-1.56025e+10	-1.5989e+10	-1.62351e+10	-1.66747e+10	-1.5669e+10	-1.61383e+10	-1.57177e+10	-1.58694e+10	-1.55923e+10	-1.63612e+10	-1.58014e+10	-1.6053e+10	-46373	-63846.9	-56068.7	-49620.7	-64815.5	-47379.2	-53978.1	-52417.2	-62754.1	-50474.5	-58635.9	-54976.4	-54336.2	-41453.7	-52601.8	-43929.5	-394485	-51873.7	-50195.2	-46150.2	-52283.5	-47166.2	-48726.6	-40718.4	-48251	-49227.8	-56790.9	-47947.4	-48040.5	-41466.6	-37684.5	-41909.7	7.84116e+09	1.03241
3	1.581e+10	-1.47941e+08	-2.68757e+10	-4.15204e+10	-3.35823e+10	-3.30935e+10	-3.27192e+10	-2.30792e+10	-3.58521e+10	-2.38979e+10	-3.16191e+10	-2.48734e+10	-2.8149e+10	-2.09547e+10	-2.04116e+10	-2.26132e+10	-3.03306e+10	-3.14873e+10	-3.03124e+10	-2.58924e+10	-3.79071e+10	-2.78072e+10	-3.41012e+10	-2.53177e+10	-2.68872e+10	-2.8437e+10	-2.67638e+10	-2.0912e+10	-2.93693e+10	-2.27712e+10	-2.41053e+10	-1.90429e+10	-3.0688e+07	-3.25919e+07	-7.8466e+07	-7.87922e+07	-8.019e+07	-1.41854e+11	-7.43248e+07	-6.99435e+07	-7.9614e+07	-7.95645e+07	-1.10333e+08	-1.44334e+11	-1.11919e+08	-1.4497e+11	-1.44233e+11	-6.55917e+07	-1.3822e+11	-7.03201e+07	-1.40396e+11	-9.61141e+07	-7.06781e+07	-6.78e+07	-9.83223e+07	-9.30024e+07	-1.0241e+08	-9.97222e+07	-9.31589e+07	-8.94069e+07	-1.01224e+08	-9.78858e+07	-9.5779e+07	-8.91642e+07	7.84116e+09	1.01629
4	1.43598e+10	-1.51393e+08	-1.47995e+08	-2.52427e+08	-6.64335e+07	-5.89325e+07	-9.35437e+07	-1.4936e+08	-9.68587e+07	-4.9176e+07	-2.51354e+07	-2.98147e+07	-3.96775e+07	-4.51847e+07	-5.69344e+07	-3.95274e+07	-1.55496e+09	-3.03799e+07	-4.91704e+08	-4.47524e+07	-5.53915e+07	-5.03177e+07	-5.30553e+07	-2.70105e+07	-4.7378e+08	-3.81806e+07	-5.04242e+07	-1.83682e+07	-4.46606e+07	-3.29405e+07	-3.01582e+07	-3.44875e+07	-6.01692e+07	-9.24828e+07	-9.12935e+09	-6.65416e+09	-9.92297e+09	-1.68188e+09	-9.22083e+09	-6.26298e+09	-9.2422e+09	-6.6651e+09	-9.30137e+09	-1.72687e+09	-1.0789e+10	-1.71306e+09	-1.70054e+09	-8.64093e+09	-1.34178e+09	-8.23375e+09	-1.50122e+09	-8.89465e+09	-9.67554e+09	-8.61042e+09	-9.25812e+09	-9.03023e+09	-1.05136e+10	-8.95126e+09	-1.03427e+10	-8.7537e+09	-1.0235e+10	-6.91306e+09	-8.67157e+09	-6.54322e+09	7.84116e+09	0.831337
5	1.35683e+10	-2.50442e+08	-1.37115e+08	-1.69379e+08	-5.28743e+07	-6.99616e+07	-8.55834e+07	-1.00341e+08	-6.81067e+07	-5.33908e+07	-3.17618e+07	-4.05662e+07	-1.98858e+07	-3.09877e+07	-5.57195e+07	-3.26298e+07	-1.51461e+08	-3.40108e+07	-4.3909e+07	-5.76702e+07	-7.01686e+07	-4.44364e+07	-4.78235e+07	-2.27215e+07	-6.2299e+07	-4.91423e+07	-4.17371e+07	-1.39015e+07	-6.71677e+07	-1.60847e+07	-2.17371e+07	-1.39421e+07	-2.43257e+09	-1.98864e+09	-5.37447e+08	-2.24531e+08	-5.35309e+08	-2.30877e+08	-2.28666e+08	-4.14023e+07	-5.24207e+08	-2.18711e+08	-2.15592e+08	-4.67051e+07	-2.21697e+08	-4.50326e+07	-4.52397e+07	-2.39448e+07	-5.47642e+08	-2.52924e+08	-2.17246e+08	-3.65308e+07	-2.38443e+08	-4.18186e+07	-3.41678e+07	-3.28079e+07	-2.23849e+08	-3.44539e+07	-4.69983e+07	-4.1018e+07	-4.13635e+07	-3.67985e+07	-3.6443e+07	-3.51044e+07	7.84116e+09	0.730397
6	1.30005e+10	-9.57519e+07	-1.16519e+08	-1.41665e+08	-1.17626e+08	-5.77641e+07	-8.04542e+07	-7.35922e+07	-6.21337e+07	-4.54354e+07	-3.58688e+07	-6.52798e+07	-2.98148e+07	-4.28311e+07	-3.63443e+07	-3.58426e+07	-1.52892e+08	-6.22139e+07	-4.02497e+07	-3.26624e+07	-5.00536e+07	-2.49976e+07	-3.45787e+07	-2.71747e+07	-8.83062e+07	-2.26586e+07	-2.37731e+07	-1.54983e+07	-1.69726e+07	-4.19404e+07	-3.01308e+07	-2.48771e+07	-4.76712e+08	-2.16819e+08	-1.82989e+08	-6.3668e+07	-1.88789e+08	-5.46166e+07	-6.66307e+07	-3.69405e+07	-1.87891e+08	-5.47411e+07	-4.58166e+07	-5.53129e+07	-4.59087e+07	-4.70268e+07	-4.52209e+07	-2.94273e+07	-2.06886e+08	-6.15107e+07	-5.52166e+07	-5.31669e+07	-3.41207e+07	-4.10278e+07	-3.28051e+07	-3.21908e+07	-6.06721e+07	-3.63357e+07	-2.33304e+07	-2.03538e+07	-4.12408e+07	-3.83998e+07	-3.55001e+07	-3.40506e+07	8.66928e+09	0.499605
7	1.26916e+10	-1.49385e+08	-1.69436e+08	-1.94949e+08	-9.31638e+07	-9.93883e+07	-7.59881e+07	-5.26436e+07	-4.87526e+07	-4.33375e+07	-2.85197e+07	-6.12083e+07	-5.85336e+07	-2.37789e+07	-2.38089e+07	-2.69054e+07	-5.88475e+07	-3.60547e+07	-5.25404e+07	-2.09577e+07	-4.61654e+07	-2.12401e+07	-1.37355e+07	-1.77419e+07	-3.39087e+07	-2.7907e+07	-3.49896e+07	-2.01413e+07	-3.82137e+07	-3.32562e+07	-2.48885e+07	-3.5797e+07	-3.25281e+08	-3.9872e+07	-5.98058e+07	-6.47189e+07	-6.30365e+07	-3.67928e+07	-6.09843e+07	-5.136e+07	-4.69296e+07	-5.02944e+07	-3.10771e+07	-3.75029e+07	-4.29593e+07	-4.23496e+07	-4.42413e+07	-1.19103e+07	-6.77401e+07	-3.46821e+07	-5.83147e+07	-3.91293e+07	-3.44261e+07	-3.91956e+07	-4.18923e+07	-4.33236e+07	-6.43668e+07	-2.60051e+07	-4.5797e+07	-2.76655e+07	-4.43143e+07	-4.57948e+07	-2.18845e+07	-1.60956e+07	9.36566e+09	0.355119
8	1.249e+10	-2.18858e+08	-6.12544e+07	-1.6947e+08	-5.53886e+07	-1.2177e+08	-6.2197e+07	-7.27001e+07	-5.5396e+07	-3.92752e+07	-8.70533e+07	-3.3282e+07	-5.53165e+07	-3.12033e+07	-3.03734e+07	-2.72648e+07	-6.02676e+07	-5.08587e+07	-2.68467e+07	-3.53114e+07	-2.67943e+07	-2.12025e+07	-1.59796e+07	-1.3354e+07	-2.21254e+07	-2.51233e+07	-3.17502e+07	-1.45064e+07	-4.39108e+07	-2.30773e+07	-1.86868e+07	-2.26952e+07	-3.7463e+07	-4.21442e+07	-4.58593e+07	-2.86853e+07	-4.94365e+07	-6.77174e+07	-3.03393e+07	-4.65627e+07	-3.70727e+07	-4.44531e+07	-2.96504e+07	-1.61026e+07	-4.18649e+07	-2.86793e+07	-3.87427e+07	-1.75014e+07	-3.59201e+07	-3.73846e+07	-2.84282e+07	-3.31117e+07	-2.50428e+07	-6.12115e+07	-3.12134e+07	-3.10005e+07	-3.57293e+07	-1.66533e+07	-4.2501e+07	-1.00525e+07	-3.30182e+07	-3.11734e+07	-1.63942e+07	-1.09821e+07	9.83466e+09	0.270003
9	1.22883e+10	-5.83391e+07	-8.39762e+07	-1.36811e+08	-4.5146e+07	-5.64704e+07	-6.16511e+07	-5.52622e+07	-2.13101e+07	-4.44477e+07	-7.81957e+07	-4.78893e+07	-8.83495e+07	-2.88997e+07	-2.72091e+07	-2.7275e+07	-6.03019e+07	-4.61508e+07	-2.57424e+07	-3.36032e+07	-2.11168e+07	-2.67751e+07	-1.43673e+07	-1.30792e+07	-3.90893e+07	-3.24625e+07	-3.73646e+07	-2.03151e+07	-4.07892e+07	-2.52615e+07	-1.82537e+07	-1.88021e+07	-2.85026e+07	-4.23157e+07	-3.20007e+07	-2.26247e+07	-2.84787e+07	-3.19537e+07	-4.69324e+07	-4.17819e+07	-3.3189e+07	-2.01987e+07	-3.24284e+07	-2.15038e+07	-3.5063e+07	-2.63291e+07	-1.91181e+07	-1.70796e+07	-4.27411e+07	-3.80934e+07	-1.87557e+07	-1.56029e+07	-1.90494e+07	-3.0703e+07	-1.49897e+07	-1.89689e+07	-2.38886e+07	-2.15987e+07	-3.7012e+07	-2.28011e+07	-3.34334e+07	-2.48691e+07	-2.15534e+07	-1.20503e+07	1.0078e+10	0.219321
10	1.2107e+10	-8.35158e+07	-7.02511e+07	-7.67936e+07	-5.82679e+07	-3.57664e+07	-3.6568e+07	-5.13081e+07	-3.21315e+07	-7.83891e+07	-6.38093e+07	-5.99373e+07	-6.00388e+07	-3.26073e+07	-1.94058e+07	-3.50791e+07	-6.18248e+07	-4.16525e+07	-3.30248e+07	-1.73372e+07	-2.20882e+07	-2.78786e+07	-2.63542e+07	-9.75905e+06	-3.22739e+07	-2.79038e+07	-2.26886e+07	-3.61105e+07	-2.96525e+07	-2.21854e+07	-2.65558e+07	-1.72019e+07	-2.12876e+07	-3.38198e+07	-2.72145e+07	-1.38945e+07	-4.13292e+07	-2.22032e+07	-2.61615e+07	-2.07544e+07	-4.11299e+07	-1.77217e+07	-3.09752e+07	-4.11741e+07	-2.03404e+07	-1.61009e+07	-2.11868e+07	-2.1273e+07	-3.35031e+07	-2.79796e+07	-3.48236e+07	-2.54971e+07	-1.69583e+07	-2.01195e+07	-2.23105e+07	-1.55587e+07	-2.37166e+07	-2.1071e+07	-2.48274e+07	-1.65341e+07	-2.24335e+07	-2.02202e+07	-1.6347e+07	-1.53488e+07	1.00848e+10	0.200517
